# Excluded regions file: 
# hipparcos stars brighter than 5th magnitude:
# -------------------------

# Shapes: BOX or SEGMENT
# types: ON, OFF or EX
# Sys: RADEC or GAL 
# BOX Geometry: width  length
# SEGMENT Geometry: r1 r2 phi1 phi1

#==========================================================================
# Shape Type Sys lambda   beta         Name             Geometry...
#==========================================================================

SEGMENT EX RADEC  247.72864    1.98392        HIP_80883 0. 0.2 0. 360.
SEGMENT EX RADEC  248.97085  -28.21604        HIP_81266 0. 0.2 0. 360.
SEGMENT EX RADEC  249.28995  -10.56710        HIP_81377 0. 0.2 0. 360.
SEGMENT EX RADEC  250.32171   31.60275        HIP_81693 0. 0.2 0. 360.
SEGMENT EX RADEC  252.16644  -69.02777        HIP_82273 0. 0.2 0. 360.
SEGMENT EX RADEC  252.54110  -34.29326        HIP_82396 0. 0.2 0. 360.
SEGMENT EX RADEC  252.96785  -38.04741        HIP_82514 0. 0.2 0. 360.
SEGMENT EX RADEC  253.08415  -38.01757        HIP_82545 0. 0.2 0. 360.
SEGMENT EX RADEC  255.07261   30.92643        HIP_83207 0. 0.2 0. 360.
SEGMENT EX RADEC  257.19687   65.71474        HIP_83895 0. 0.2 0. 360.
SEGMENT EX RADEC  257.59475  -15.72492        HIP_84012 0. 0.2 0. 360.
SEGMENT EX RADEC  258.03852  -43.23923        HIP_84143 0. 0.2 0. 360.
SEGMENT EX RADEC  258.66213   14.39034        HIP_84345 0. 0.2 0. 360.
SEGMENT EX RADEC  258.75818   24.83923        HIP_84379 0. 0.2 0. 360.
SEGMENT EX RADEC  260.50263  -24.99957        HIP_84970 0. 0.2 0. 360.
SEGMENT EX RADEC  261.34880  -56.37777        HIP_85267 0. 0.2 0. 360.
SEGMENT EX RADEC  262.60840   52.30143        HIP_85670 0. 0.2 0. 360.
SEGMENT EX RADEC  262.69120  -37.29584        HIP_85696 0. 0.2 0. 360.
SEGMENT EX RADEC  262.77486  -60.68390        HIP_85727 0. 0.2 0. 360.
SEGMENT EX RADEC  262.96061  -49.87619        HIP_85792 0. 0.2 0. 360.
SEGMENT EX RADEC  263.40239  -37.10385        HIP_85927 0. 0.2 0. 360.
SEGMENT EX RADEC  263.73385   12.56005        HIP_86032 0. 0.2 0. 360.
SEGMENT EX RADEC  264.32993  -42.99786        HIP_86228 0. 0.2 0. 360.
SEGMENT EX RADEC  264.39690  -15.39857        HIP_86263 0. 0.2 0. 360.
SEGMENT EX RADEC  264.86642   46.00637        HIP_86414 0. 0.2 0. 360.
SEGMENT EX RADEC  265.62220  -39.03002        HIP_86670 0. 0.2 0. 360.
SEGMENT EX RADEC  265.86836    4.56731        HIP_86742 0. 0.2 0. 360.
SEGMENT EX RADEC  266.89640  -40.12703        HIP_87073 0. 0.2 0. 360.
SEGMENT EX RADEC  266.97339    2.70728        HIP_87108 0. 0.2 0. 360.
SEGMENT EX RADEC  269.15177   51.48894        HIP_87833 0. 0.2 0. 360.
SEGMENT EX RADEC   28.27047   29.57885         HIP_8796 0. 0.2 0. 360.
SEGMENT EX RADEC  270.16154    2.93157        HIP_88192 0. 0.2 0. 360.
SEGMENT EX RADEC   28.38258   19.29387         HIP_8832 0. 0.2 0. 360.
SEGMENT EX RADEC  271.45226  -30.42412        HIP_88635 0. 0.2 0. 360.
SEGMENT EX RADEC  271.65803  -50.09152        HIP_88714 0. 0.2 0. 360.
SEGMENT EX RADEC  271.83766    9.56386        HIP_88771 0. 0.2 0. 360.
SEGMENT EX RADEC  271.88586   28.76251        HIP_88794 0. 0.2 0. 360.
SEGMENT EX RADEC   28.59888   63.67016         HIP_8886 0. 0.2 0. 360.
SEGMENT EX RADEC   28.66006   20.80805         HIP_8903 0. 0.2 0. 360.
SEGMENT EX RADEC  276.04323  -34.38465        HIP_90185 0. 0.2 0. 360.
